Source,Target,Type
788473481033834496,1132890775891505152,Directed
20444825,442480428,Directed
1042518909222617088,229658775,Directed
4263007693,1159488205730660352,Directed
974140999118319616,462219172,Directed
16047639,555022381,Directed
758405210213650432,956514361324994562,Directed
2544177302,2326716338,Directed
350283265,3004181585,Directed
992420980374016000,1011817655957893120,Directed
4263007693,1090697635260968963,Directed
350283265,595435782,Directed
534563976,245215338,Directed
69133574,410619924,Directed
842679437263028224,313189831,Directed
33764964,193436067,Directed
842679437263028224,328607594,Directed
543981616,814826774,Directed
960947423320326144,996341786,Directed
2303856248,15441092,Directed
1060213620397637632,831437814,Directed
2440610314,889857651676459009,Directed
973955318987210752,738790942417801216,Directed
1198243446294745088,1138822334423412736,Directed
328439695,9202502,Directed
46245868,1211285580346093575,Directed
791719318320979968,387859558,Directed
2567686548,1916386849,Directed
845635834510479360,779373961951973377,Directed
4263007693,730848414611718144,Directed
4263007693,1316019709,Directed
548687105,1075011651366199297,Directed
503776268,390062767,Directed
4263007693,1076172179178487809,Directed
842679437263028224,121417367,Directed
3867945679,885868202554773504,Directed
13074042,180875768,Directed
4263007693,4165508771,Directed
791719318320979968,2683935108,Directed
260399941,107048264,Directed
13074042,835691393762787329,Directed
4263007693,86892039,Directed
20444825,368551889,Directed
827984604,1076089990831050753,Directed
20444825,577456611,Directed
923513734831755264,1011526329265737730,Directed
20444825,4333728443,Directed
842679437263028224,821590347755220992,Directed
20444825,4138966932,Directed
43186378,842018341,Directed
2544177302,1002264925878865921,Directed
714985283490451456,8647102,Directed
4263007693,1134576559946420224,Directed
2476114508,1178423913757450253,Directed
48707597,266696234,Directed
1183885034220150784,19539923,Directed
211937351,130373200,Directed
1320130406,1075011651366199297,Directed
772330691942084608,1011817655957893120,Directed
960947423320326144,35794978,Directed
18100201,783294507571933184,Directed
13074042,250676417,Directed
2973406683,856895716479913985,Directed
276508048,46933127,Directed
19675099,633700365,Directed
128042269,983470194982088704,Directed
46245868,2365729350,Directed
4263007693,20146913,Directed
842679437263028224,15604509,Directed
952705014077693952,843499634517594113,Directed
16741059,1059198259,Directed
920490039577997312,265447835,Directed
1082235529511473152,256461919,Directed
548986774,1011817655957893120,Directed
4263007693,138680229,Directed
4263007693,1195789107756187649,Directed
2788341922,2788341922,Directed
211937351,398826308,Directed
2349907753,134442439,Directed
257757365,302597866,Directed
285779081,1011817655957893120,Directed
534563976,538077313,Directed
13074042,2758518175,Directed
1119310284,1011817655957893120,Directed
3070187416,1579555238,Directed
534563976,103381817,Directed
3867945679,842956176958476289,Directed
18068926,824070649073188865,Directed
445827586,400694446,Directed
260399941,1522181906,Directed
13074042,567537377,Directed
147102131,998511141964873728,Directed
4263007693,423040124,Directed
15231924,1241814552,Directed
