Source,Target,Type
835691393762787328,235261861,Directed
1204128767251230720,17778401,Directed
3158451439,1014914504314925056,Directed
1965998539,207166307,Directed
301687349,235261861,Directed
3357277319,487119609,Directed
101366533,207166307,Directed
1011817655957893120,827984604,Directed
750892662224453632,3255910179,Directed
1124284296565612544,108979413,Directed
912761895685419008,1132243872,Directed
971620109197312000,1131854274223366144,Directed
1327266882,61005910,Directed
1011817655957893120,17774791,Directed
904618028087816192,2920033789,Directed
885868202554773504,3062012287,Directed
1121783892803899392,2920033789,Directed
3867945679,2291428702,Directed
1011817655957893120,149000021,Directed
760870811494297600,24029894,Directed
91424098,91424098,Directed
830130240793899008,2768557727,Directed
1203106665551269888,4695216853,Directed
3867945679,1644683106,Directed
701133569406726144,2344530218,Directed
931068577,15821353,Directed
1583435396,71684691,Directed
1117333567,948551747416375296,Directed
257421224,34677653,Directed
741998231714828288,1132243872,Directed
61023924,2377969267,Directed
18129188,245217900,Directed
1075011651366199296,1000051374346985472,Directed
984892305021730816,71684691,Directed
1097907088905457664,1014914504314925056,Directed
750892662224453632,1241814552,Directed
1190726565073522688,3867945679,Directed
409318137,2242987496,Directed
1004225337163747328,1018459979047624704,Directed
3448770088,109312021,Directed
2831401824,997095129256116224,Directed
1269440827,49427323,Directed
719865592258379776,1134925528740159488,Directed
1174614907888816128,1068951084,Directed
752982253576318976,188423774,Directed
188423774,752982253576318976,Directed
523509803,1134925528740159488,Directed
742788449493766144,1068951084,Directed
2788341922,2788341922,Directed
2446400162,13074042,Directed
2596714112,827984604,Directed
2349907753,14403154,Directed
744776302591303680,2920033789,Directed
1011817655957893120,943994571519877120,Directed
2905624932,194562818,Directed
1634091332,308613286,Directed
316481450,758273142489952256,Directed
1011817655957893120,1156864631467642880,Directed
836510570,836510570,Directed
89378676,169974815,Directed
4707372193,1823987821,Directed
898142425,777706204701323264,Directed
2259569294,2768557727,Directed
47332433,1571967648,Directed
40572389,15813140,Directed
12514782,2336975714,Directed
2363991360,207166307,Directed
1117333567,543981616,Directed
2259569294,71684691,Directed
150055226,235261861,Directed
754517918,1212465001,Directed
1011817655957893120,16534741,Directed
2278069864,61005910,Directed
894489891555422208,894489891555422208,Directed
488000929,273781698,Directed
828330692564103168,3062012287,Directed
984892305021730816,487119609,Directed
919744697551253504,2344530218,Directed
4633772304,487119609,Directed
1041367248139702272,4338452835,Directed
1051828781936185344,573918122,Directed
1075011651366199296,1084855878728077312,Directed
389021740,69133574,Directed
757023353253224448,974140999118319616,Directed
2750427137,3412916241,Directed
1657315094,1260514195,Directed
958860744157573120,744328644,Directed
111366242,1014914504314925056,Directed
1011817655957893120,2789733414,Directed
1011817655957893120,884253117251858432,Directed
307229074,16274367,Directed
21178908,503776268,Directed
1011817655957893120,108660744,Directed
1127320376651014144,1011817655957893120,Directed
1011817655957893120,969830884290555904,Directed
3346433337,3065972386,Directed
1075011651366199296,1679260675,Directed
875679268126306304,132455164,Directed
1011817655957893120,84618490,Directed
445576043,2242987496,Directed
3867945679,2920033789,Directed
1078853845739028480,3030511365,Directed
11898872,1212465001,Directed
977295606367494144,503776268,Directed
977295606367494144,308613286,Directed
1011817655957893120,1134925528740159488,Directed
266997926,935096220,Directed
316481450,923513734831755264,Directed
1011817655957893120,25084916,Directed
1193623832713682944,1067369677,Directed
2223779250,219275799,Directed
2221004379,268542621,Directed
763416357710991360,400409011,Directed
877505198956187648,885953601067208704,Directed
1011817655957893120,51232377,Directed
1131854274223366144,1260514195,Directed
1011817655957893120,795132869559496704,Directed
3732897196,4263007693,Directed
955709459065659392,71684691,Directed
824070649073188864,1014914504314925056,Directed
3693824417,253412938,Directed
962808924,166348278,Directed
150693327,791719318320979968,Directed
2339161019,226310002,Directed
1193623832713682944,59773247,Directed
18362117,960947423320326144,Directed
1167844985271660544,974140999118319616,Directed
187434291,2613859267,Directed
1011817655957893120,935096220,Directed
1011817655957893120,755726,Directed
66804129,15175368,Directed
1203106665551269888,2840786109,Directed
4734478406,4263007693,Directed
1011817655957893120,722471022704922624,Directed
3197518417,3062012287,Directed
1011817655957893120,1400489058,Directed
1011817655957893120,547152273,Directed
190179815,169974815,Directed
3171234712,207166307,Directed
1096429623045439488,70736359,Directed
30415439,894518852,Directed
1151370996730871808,1679260675,Directed
1075011651366199296,69133574,Directed
964849526174617600,15821353,Directed
3158451439,3867945679,Directed
752974124,19120978,Directed
1011817655957893120,342250615,Directed
1097907088905457664,71684691,Directed
241445758,3867945679,Directed
836510570,2476114508,Directed
3867945679,1066699969,Directed
1011817655957893120,3030511365,Directed
19889825,17367248,Directed
111366242,2920033789,Directed
1011817655957893120,24029894,Directed
884114729626550272,862642152,Directed
583673433,1134925528740159488,Directed
2830422401,2920033789,Directed
3146740677,827801822,Directed
1114843768329359360,128700677,Directed
3146740677,71684691,Directed
1011817655957893120,148942360,Directed
2598008163,1132243872,Directed
789800603828363264,207166307,Directed
1386338574,807775550483763200,Directed
3201416049,481867656,Directed
1075011651366199296,1601473975,Directed
